Temperature - (Celsius), Year, Month, Country, ISO3
-6.347, 1911, Jun, Greenland, GRL
-3.1096, 1911, Jul, Greenland, GRL
-5.7252, 1911, Aug, Greenland, GRL
-13.7, 1911, Sep, Greenland, GRL
-18.416, 1911, Oct, Greenland, GRL
-24.412, 1911, Nov, Greenland, GRL
-27.573, 1911, Dec, Greenland, GRL
-26.133, 1912, Jan, Greenland, GRL
-28.199, 1912, Feb, Greenland, GRL
-29.983, 1912, Mar, Greenland, GRL
-23.171, 1912, Apr, Greenland, GRL
-13.488, 1912, May, Greenland, GRL
-4.8487, 1912, Jun, Greenland, GRL
-3.6165, 1912, Jul, Greenland, GRL
-6.2857, 1912, Aug, Greenland, GRL
-13.3, 1912, Sep, Greenland, GRL
-21.235, 1912, Oct, Greenland, GRL
-25.539, 1912, Nov, Greenland, GRL
-26.259, 1912, Dec, Greenland, GRL
-25.573, 1913, Jan, Greenland, GRL
-26.905, 1913, Feb, Greenland, GRL
-31.651, 1913, Mar, Greenland, GRL
-23.216, 1913, Apr, Greenland, GRL
-13.842, 1913, May, Greenland, GRL
-5.741, 1913, Jun, Greenland, GRL
-3.9125, 1913, Jul, Greenland, GRL
-6.617, 1913, Aug, Greenland, GRL
-13.215, 1913, Sep, Greenland, GRL
-19.796, 1913, Oct, Greenland, GRL
-26.678, 1913, Nov, Greenland, GRL
-28.179, 1913, Dec, Greenland, GRL
-29.081, 1914, Jan, Greenland, GRL
-34.121, 1914, Feb, Greenland, GRL
-32.806, 1914, Mar, Greenland, GRL
-24.591, 1914, Apr, Greenland, GRL
-16.179, 1914, May, Greenland, GRL
-8.3298, 1914, Jun, Greenland, GRL
-3.9553, 1914, Jul, Greenland, GRL
-6.2531, 1914, Aug, Greenland, GRL
-14.571, 1914, Sep, Greenland, GRL
-18.855, 1914, Oct, Greenland, GRL
-25.719, 1914, Nov, Greenland, GRL
-30.093, 1914, Dec, Greenland, GRL
-28.21, 1915, Jan, Greenland, GRL
-31.874, 1915, Feb, Greenland, GRL
-32.15, 1915, Mar, Greenland, GRL
-23.981, 1915, Apr, Greenland, GRL
-13.803, 1915, May, Greenland, GRL
-6.0901, 1915, Jun, Greenland, GRL
-4.2071, 1915, Jul, Greenland, GRL
-5.9189, 1915, Aug, Greenland, GRL
-12.08, 1915, Sep, Greenland, GRL
-18.126, 1915, Oct, Greenland, GRL
-25.068, 1915, Nov, Greenland, GRL
-26.847, 1915, Dec, Greenland, GRL
-27.844, 1916, Jan, Greenland, GRL
-27.436, 1916, Feb, Greenland, GRL
-24.77, 1916, Mar, Greenland, GRL
-25.221, 1916, Apr, Greenland, GRL
-12.412, 1916, May, Greenland, GRL
-6.5837, 1916, Jun, Greenland, GRL
-3.7844, 1916, Jul, Greenland, GRL
-4.9889, 1916, Aug, Greenland, GRL
-12.792, 1916, Sep, Greenland, GRL
-19.951, 1916, Oct, Greenland, GRL
-26.457, 1916, Nov, Greenland, GRL
-28.503, 1916, Dec, Greenland, GRL
-27.14, 1917, Jan, Greenland, GRL
-28.988, 1917, Feb, Greenland, GRL
-28.354, 1917, Mar, Greenland, GRL
-25.057, 1917, Apr, Greenland, GRL
-15.448, 1917, May, Greenland, GRL
-7.4313, 1917, Jun, Greenland, GRL
-3.1015, 1917, Jul, Greenland, GRL
-5.912, 1917, Aug, Greenland, GRL
-14.821, 1917, Sep, Greenland, GRL
-23.113, 1917, Oct, Greenland, GRL
-27.709, 1917, Nov, Greenland, GRL
-30.894, 1917, Dec, Greenland, GRL
-34.092, 1918, Jan, Greenland, GRL
-31.654, 1918, Feb, Greenland, GRL
-30.123, 1918, Mar, Greenland, GRL
-25.711, 1918, Apr, Greenland, GRL
-12.873, 1918, May, Greenland, GRL
-7.9224, 1918, Jun, Greenland, GRL
-3.3519, 1918, Jul, Greenland, GRL
-6.2509, 1918, Aug, Greenland, GRL
-13.485, 1918, Sep, Greenland, GRL
-21.258, 1918, Oct, Greenland, GRL
-27.283, 1918, Nov, Greenland, GRL
-26.449, 1918, Dec, Greenland, GRL
-25.343, 1919, Jan, Greenland, GRL
-32.871, 1919, Feb, Greenland, GRL
-30.63, 1919, Mar, Greenland, GRL
-28.375, 1919, Apr, Greenland, GRL
-12.046, 1919, May, Greenland, GRL
-7.4004, 1919, Jun, Greenland, GRL
-4.1441, 1919, Jul, Greenland, GRL
-6.7734, 1919, Aug, Greenland, GRL
-14.348, 1919, Sep, Greenland, GRL
-18.244, 1919, Oct, Greenland, GRL
-24.995, 1919, Nov, Greenland, GRL
-25.916, 1919, Dec, Greenland, GRL
-28.666, 1920, Jan, Greenland, GRL
-30.876, 1920, Feb, Greenland, GRL
-29.66, 1920, Mar, Greenland, GRL
-22.253, 1920, Apr, Greenland, GRL
